Rank,Name,Global_Sales,,platform,Genre,Publisher,NA_Sales,¯Êº|
3481,Contra: Shattered Soldier,0.58,,7,7,15,0.28,
3482,Championship Motocross featuring Ricky Carmichael,0.58,,13,3,29,0.32,
3483,Dragon Ball Z: Chou Saiya Densetsu,0.58,,8,4,26,0,
3484,NBA 2K7,0.58,,5,1,3,0.53,
3485,WWE 2K16,0.58,,6,1,3,0.21,
3486,Phoenix Wright: Ace Attorney - Justice for All,0.58,,4,10,10,0.24,
3487,Fire Emblem: Seisen no Keifu,0.58,,8,12,1,0,
3488,Rock Band 3,0.58,,6,6,32,0.43,
3489,Disgaea 4: A Promise Unforgotten,0.58,,6,4,453,0.27,
3490,BlazBlue: Calamity Trigger,0.58,,6,11,406,0.36,
3491,Tenchu 2: Birth of the Stealth Assassins,0.58,,13,9,5,0.32,
3492,Tony Hawk's Pro Skater 4,0.58,,18,1,5,0.45,
3493,MLB 11: The Show,0.58,,6,1,4,0.54,
3494,Naruto: Uzumaki Chronicles 2,0.58,,7,9,26,0.28,
3495,NHL 06,0.58,,7,1,8,0.48,
3496,NHL 10,0.58,,6,1,8,0.38,
3497,Rooms: The Main Building,0.58,,4,10,1,0.1,
3498,Rapala: We Fish,0.58,,1,1,5,0.52,
3499,Parasite Eve II,0.58,,13,4,11,0.32,
3500,Tetris Party Deluxe,0.58,,1,5,1,0.34,
3501,NFL Blitz 2000,0.58,,12,1,491,0.55,
3502,Ratchet & Clank: Quest for Booty,0.58,,6,2,4,0,
3503,Madden NFL 2002,0.58,,14,1,65,0.53,
3504,NCAA Football 10,0.58,,7,1,8,0.28,
3505,Top Spin 3,0.57,,6,9,3,0.08,
3506,Shin Megami Tensei IV,0.57,,10,4,125,0.28,
3507,Theme Park,0.57,,13,8,8,0.24,
3508,Blacksite: Area 51,0.57,,5,7,491,0.29,
3509,Spider-Man 3,0.57,,5,2,5,0.49,
3510,ATV Offroad Fury: Blazin' Trails,0.57,,16,3,360,0.53,
3511,Far Cry Instincts,0.57,,14,7,6,0.32,
3512,Hasbro Family Game Night,0.57,,7,5,8,0.28,
3513,Tony Hawk's Pro Skater 4,0.57,,9,1,5,0.41,
3514,Up,0.57,,1,9,29,0.23,
3515,Tales of the Abyss,0.57,,7,4,26,0,
3516,Disney Universe,0.57,,5,9,33,0.37,
3517,Iron Man,0.57,,5,9,9,0.27,
3518,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,0.57,,13,12,26,0,
3519,Spyro Orange: The Cortex Conspiracy,0.57,,9,9,24,0.41,
3520,Enslaved: Odyssey to the West,0.57,,6,9,26,0.24,
3521,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.57,,4,9,29,0.53,
3522,Beyond The Beyond,0.57,,13,4,4,0.11,
3523,Ben 10: Alien Force,0.57,,7,9,537,0.22,
3524,Tomb Raider: Anniversary,0.57,,16,9,22,0.21,
3525,"Warhammer 40,000: Space Marine",0.57,,5,7,29,0.25,
3526,Madden NFL 06,0.57,,18,1,8,0.44,
3527,No More Heroes,0.57,,1,9,386,0.3,
3528,Assassin's Creed II,0.57,,15,9,6,0.01,
3529,Petz Wild Animals: Tigerz,0.57,,4,8,6,0.52,
3530,Naruto: Ultimate Ninja 2,0.57,,7,11,26,0.47,
3531,Defiance,0.57,,5,7,308,0.38,
3532,Dogz,0.57,,4,8,6,0.51,
3533,3D Dot Game Heroes,0.57,,6,4,360,0.36,
3534,The Mysterious Murasame Castle,0.57,,2,9,1,0,
3535,NBA Hangtime,0.57,,12,1,14,0.48,
3536,Jillian Michaels Fit2s Ultimatum 2010,0.57,,1,1,34,0.52,
3537,Pro Evolution Soccer 2012,0.57,,16,9,15,0.1,
3538,Grease,0.57,,1,6,13,0.27,
3539,Blood Wake,0.57,,14,7,2,0.43,
3540,Dynasty Warriors 5: Xtreme Legen4,0.57,,7,9,326,0.11,
3541,Skylanders: Spyro's Adventure,0.57,,10,9,5,0.32,
3542,Dora The Explorer: Dora Saves the Snow Princess,0.57,,1,2,3,0.5,
3543,Jampack Summer 2002,0.57,,7,6,4,0.28,
3544,FIFA World Cup Germany 2006,0.57,,7,1,8,0.47,
3545,Wreckless: ThE YaKuza MisSiOns,0.57,,14,3,5,0.42,
3546,Super Bomberman,0.57,,8,5,284,0,
3547,SpongeBob SquarePants: Battle for Bikini Bottom,0.57,,14,2,29,0.45,
3548,Spec Ops: The Line,0.57,,6,7,3,0.19,
3549,SD Gundam G Generation Neo,0.57,,7,12,26,0,
3550,Bratz 4 Real,0.57,,4,10,29,0.29,
3551,RalliSport Challenge,0.57,,14,3,2,0.39,
3552,Resident Evil Outbreak File #2,0.57,,7,9,10,0.19,
3553,Bob the Builder: Can We Fix It?,0.57,,13,9,29,0.31,
3554,XIII,0.57,,7,7,6,0.28,
3555,NHL 14,0.57,,6,1,8,0.28,
3556,LEGO Rock Band,0.57,,5,6,20,0.4,
3557,Bolt,0.57,,1,10,33,0.19,
3558,Top Spin 3,0.57,,5,9,3,0.09,
3559,Tom Clancy's HAWX,0.57,,6,9,6,0.21,
3560,LEGO Dimensions,0.56,,5,9,20,0.24,
3561,Breath of Fire IV,0.56,,13,4,10,0.11,
3562,True Crime: Streets of LA,0.56,,18,9,5,0.44,
3563,Odin Sphere,0.56,,7,4,17,0.23,
3564,Donkey Kong Jungle Climber,0.56,,4,2,1,0.26,
3565,The Incredible Hulk,0.56,,9,9,21,0.4,
3566,Ms. Pac-Man Maze Mad2s,0.56,,9,5,98,0.4,
3567,Arena Football,0.56,,7,1,8,0.28,
3568,The Lord of the Rings: The Return of the King,0.56,,9,9,8,0.4,
3569,NHL Hitz 20-02,0.56,,7,1,491,0.28,
3570,Classic 2 Series: Dr. Mario,0.56,,9,5,1,0.31,
3571,The Sims: Bustin' Out,0.56,,14,8,8,0.4,
3572,NCAA March Mad2s 07,0.56,,7,1,8,0.28,
3573,"Monsters, Inc. Scream Team",0.56,,13,2,4,0.31,
3574,Harry Potter Collection,0.56,,7,6,8,0.28,
3575,Tony Hawk's Project 8,0.56,,16,1,5,0.41,
3576,Yu-Gi-Oh! World Championship Tournament 2004,0.56,,9,6,15,0.4,
3577,Cabela's Big Game Hunter 2005 Adventures,0.56,,7,1,5,0.28,
3578,Hotel Dusk: Room 215,0.56,,4,10,1,0.27,
3579,Knockout Kings 2001,0.56,,7,11,8,0.28,
3580,Army Men: Sarge's Heroes,0.56,,13,9,25,0.31,
3581,Phineas and Ferb: Across the 2nd Dimension,0.56,,4,9,33,0.32,
3582,Petz Dogz 2,0.56,,7,8,6,0.28,
3583,Battlefield 2: Modern Combat,0.56,,14,7,8,0.39,
3584,Wolfenstein,0.56,,5,7,5,0.28,
3585,All-Star Baseball 2002,0.56,,7,1,31,0.27,
3586,Backyard NFL Football,0.56,,9,1,552,0.4,
3587,Need for Speed: Most Wanted,0.56,,18,3,8,0.43,
3588,NASCAR Rumble,0.56,,13,3,8,0.31,
3589,Tony Hawk: Shred,0.56,,1,1,5,0.41,
3590,Tony Hawk's Proving Ground,0.56,,5,1,5,0.49,
3591,WWE Raw 2,0.56,,14,11,29,0.43,
3592,Resident Evil 2,0.56,,12,9,19,0.39,
3593,Mega Man X2,0.56,,8,2,533,0.09,
3594,Manhunt 2,0.56,,7,9,3,0.27,
3595,Xenoblade Chronicles,0.56,,10,4,1,0.26,
3596,Fullmetal Alchemist and the Broken Angel,0.56,,7,4,17,0.15,
3597,Monster High: Ghoul Spirit,0.56,,1,6,29,0.44,
3598,Final Fantasy IV: The Complete Collection,0.56,,16,4,17,0.13,
3599,Frontli2: Fuel of War,0.56,,5,7,29,0.34,
3600,Lips: Number One Hits,0.56,,5,6,2,0.15,
3601,Hamtaro: Ham-Hams Unite!,0.56,,3,4,1,0,
3602,Batman Begins,0.56,,7,9,8,0.27,
3603,Viva Pinata: Pocket Paradise,0.56,,4,8,29,0.27,
3604,Dr. Seuss' The Cat in the Hat,0.56,,7,6,24,0.27,
3605,Barbie Groovy Games,0.56,,9,6,21,0.4,
3606,Yu-Gi-Oh! Reshef of Destruction,0.56,,9,12,15,0.4,
3607,Blinx: The Time Sweeper,0.56,,14,2,2,0.39,
3608,Madagascar: Escape 2 Africa,0.56,,1,9,5,0.32,
3609,Archer Maclean's Mercury,0.56,,16,5,292,0.17,
3610,ESPN NFL Football,0.56,,7,1,9,0.27,
3611,Fatal Fury Special,0.56,,8,11,335,0,
3612,Catz,0.56,,4,8,6,0.49,
3613,Major League Baseball 2K5,0.56,,14,1,3,0.52,
3614,4 Bimoji Training,0.56,,4,6,1,0,
3615,WWE 2K15,0.56,,17,1,3,0.28,
3616,Petz Catz Clan,0.56,,4,8,6,0.48,
3617,Soul Sacrifice,0.56,,22,4,4,0.18,
3618,G-Force,0.56,,4,9,33,0.27,
3619,Tiger Woo4 PGA Tour 11,0.56,,1,1,8,0.24,
3620,Soldier of Fortune: Gold Edition,0.56,,7,7,158,0.27,
3621,Rune Factory: A Fantasy Harvest Moon,0.56,,4,4,386,0.37,
3622,Monster Jam: Path of Destruction,0.56,,1,3,5,0.5,
3623,Rapala Tournament Fishing!,0.56,,1,1,5,0.51,
3624,MX 2002 Featuring Ricky Carmichael,0.56,,7,3,29,0.27,
3625,Purr Pals,0.56,,4,8,29,0.18,
3626,NCAA Football 07,0.56,,14,1,8,0.42,
3627,God of War: Origins Collection,0.56,,6,9,4,0.39,
3628,MX vs. ATV: Alive,0.56,,5,3,29,0.37,
3629,Lunar: Silver Star Story Complete,0.55,,13,4,548,0.27,
3630,Dragon Ball: XenoVerse,0.55,,6,11,26,0.15,
3631,NBA Showtime: NBA on NBC,0.55,,13,1,491,0.31,
3632,ZhuZhu Pets 2: Featuring The Wild Bunch,0.55,,4,8,5,0.41,
3633,Dragon Age: Inquisition,0.55,,5,4,8,0.35,
3634,Soul Reaver 2,0.55,,7,9,22,0.27,
3635,Metal Gear Solid 3: Subsistence,0.55,,7,9,15,0.34,
3636,Sly Cooper: Thieves in Time,0.55,,6,2,16,0.35,
3637,The Godfather (old US sales),0.55,,14,9,8,0.42,
3638,Daytona USA,0.55,,23,3,9,0,
3639,Harry Potter and the Deathly Hallows - Part 1,0.55,,1,9,8,0.22,
3640,Tiger Woo4 PGA Tour 13,0.55,,6,1,8,0.24,
3641,WWF Raw,0.55,,14,11,29,0.4,
3642,Shin Super Robot Taisen,0.55,,13,4,131,0,
3643,Jump Super Stars,0.55,,4,11,1,0,
3644,Legen4 of WrestleMania,0.55,,6,11,29,0.3,
3645,The 5 Decathlon,0.55,,21,1,5,0.52,
3646,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,0.55,,13,7,178,0.31,
3647,50 Classic Games,0.55,,4,6,188,0.52,
3648,Fighting Force 2,0.55,,13,9,22,0.31,
3649,Sakura Wars,0.55,,23,10,9,0,
3650,Yokai Sangokushi,0.55,,10,9,530,0,
3651,Extermination,0.55,,7,9,4,0.21,
3652,Batman: Vengeance,0.55,,7,10,6,0.27,
3653,Unit 13,0.55,,22,7,4,0.29,
3654,Tatsunoko vs. 10: Ultimate All-Stars,0.55,,1,11,10,0.32,
3655,TMNT,0.55,,5,9,6,0.47,
3656,F.E.A.R.,0.55,,6,7,24,0.18,
3657,Secret Agent Clank(US sales),0.55,,16,2,4,0.33,
3658,Assassin's Creed: Unity,0.55,,15,9,6,0.17,
3659,Derby Stallion 04,0.55,,7,1,208,0,
3660,NBA 2K8,0.55,,6,1,3,0.5,
3661,Barbie Horse Adventures: Riding Camp,0.55,,4,1,5,0.51,
3662,Crosswor4,0.55,,4,5,186,0.51,
3663,Tony Hawk's Pro Skater 3,0.55,,14,1,5,0.34,
3664,Mega Man Zero,0.55,,9,2,10,0.22,
3665,Contender 2,0.55,,13,11,25,0.31,
3666,The Amazing Spider-Man 2 (2014),0.55,,11,9,5,0.2,
3667,Star Wars: Dark Forces,0.55,,13,7,18,0.31,
3668,SD Gundam G Generation Zero,0.55,,13,12,26,0,
3669,Super Robot Taisen F,0.55,,23,12,131,0,
3670,Shrek 2,0.55,,14,2,5,0.4,
3671,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,0.55,,7,1,9,0,
3672,Time Crisis: Razing Storm,0.55,,6,7,26,0.18,
3673,SpongeBob SquarePants: SuperSponge,0.55,,9,9,29,0.39,
3674,Super Robot Taisen F Kanketsuhen,0.55,,23,12,131,0,
3675,Enslaved: Odyssey to the West,0.55,,5,9,26,0.3,
3676,Rune Factory 4,0.55,,10,4,91,0.31,
3677,Summer Sports: Paradise Island,0.55,,1,1,6,0.49,
3678,Tak and the Power of Juju,0.55,,9,2,29,0.39,
3679,Dynasty Warriors: Gundam 3,0.55,,6,9,326,0.11,
3680,Mortal Kombat 3,0.55,,13,11,4,0.29,
3681,Turok: Evolution,0.55,,14,7,31,0.39,
3682,Jak X: Combat Racing,0.55,,7,3,4,0.45,
3683,Metro 2033,0.55,,5,7,29,0.22,
3684,Are You Smarter than a 5th Grader? Make the Grade,0.55,,1,6,29,0.51,
3685,American Idol,0.55,,7,6,158,0.27,
3686,Top Gun: Fire at Will!,0.55,,13,6,493,0.3,
3687,Red Dead Revolver,0.55,,14,7,3,0.4,
3688,Dragon Ball Z: Shin Budokai,0.55,,16,11,12,0.26,
3689,LEGO The Hobbit,0.54,,6,9,20,0.12,
3690,Iron Man,0.54,,7,9,9,0.36,
3691,SingStar Summer Party,0.54,,7,6,4,0,
3692,Tiger Woo4 PGA Tour 08,0.54,,5,1,8,0.49,
3693,NBA Live 10,0.54,,6,1,8,0.46,
3694,The SpongeBob SquarePants Movie,0.54,,14,2,29,0.4,
3695,FIFA Soccer 07,0.54,,14,1,8,0.16,
3696,Gekikuukan Pro Yakyuu: At the End of the Century 1999,0.54,,7,1,11,0,
3697,Medarot 2: Kabuto / Kuwagata Version,0.54,,3,4,299,0,
3698,Excite Truck,0.54,,1,3,1,0.4,
3699,Sacred 2: Fallen Angel,0.54,,5,4,186,0.29,
3700,System 3 presents Ferrari Challenge Trofeo Pirelli,0.54,,1,3,339,0.07,
3701,Dance Dance Revolution Ultramix,0.54,,14,8,15,0.42,
3702,ModNation Racers,0.54,,16,3,4,0.11,
3703,Crash Tag Team Racing,0.54,,7,3,24,0.27,
3704,Two Worl4 II,0.54,,5,4,65,0.4,
3705,Sonic & All-Stars Racing Transformed,0.54,,6,3,9,0.08,
3706,Michael Jackson: The Experience,0.54,,6,6,6,0.25,
3707,Front Mission 4,0.54,,7,12,17,0.14,
3708,The Fairly Odd Parents: Breakin' Da Rules,0.54,,9,2,29,0.39,
3709,LEGO Dimensions,0.54,,6,9,20,0.15,
3710,Inazuma Eleven,0.54,,4,4,1,0,
3711,Ninokuni: Shikkoku no Madoushi,0.54,,4,4,530,0,
3712,Minecraft: Story Mode,0.54,,17,10,481,0.29,
3713,Resident Evil: Revelations 2,0.54,,11,9,10,0.13,
3714,Manhunt 2,0.54,,1,9,3,0.25,
3715,SRS: Street Racing Syndicate,0.54,,7,3,26,0.26,
3716,Despicable Me: The Game - Minion Mayhem,0.54,,4,5,178,0.42,
3717,Def Jam: Fight for NY,0.54,,14,11,8,0.43,
3718,Action Force,0.54,,21,9,168,0.5,
3719,Gauntlet Legen4,0.54,,12,9,491,0.43,
3720,FIFA 99,0.54,,12,1,8,0.11,
3721,Kidou Senshi Gundam: Extreme VS,0.54,,6,11,26,0,
3722,Dragon Ball Z: Ultimate Tenkaichi,0.54,,5,11,26,0.39,
3723,Tales of Symphonia,0.54,,6,4,26,0.21,
3724,Bust A Groove,0.54,,13,6,4,0.09,
3725,Fire Emblem: Path of Radiance,0.54,,18,9,1,0.29,
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,0.54,,7,4,25,0,
3727,Let's Draw!,0.54,,4,6,6,0.24,
3728,Pachi-Slot Aruze Oukoku 2,0.54,,13,6,113,0,
3729,NHL 14,0.54,,5,1,8,0.4,
3730,Valkyria Chronicles II,0.54,,16,4,9,0.12,
3731,Middle-Earth: Shadow of Mordor,0.54,,5,9,20,0.28,
3732,Madden NFL 13,0.54,,1,1,8,0.51,
3733,Rune Factory 2: A Fantasy Harvest Moon,0.54,,4,4,386,0.33,
3734,Terminator Salvation,0.54,,6,7,20,0.13,
3735,Cars 2,0.54,,6,3,33,0.22,
3736,Bratz: Rock Angelz,0.54,,9,6,29,0.39,
3737,How to Train Your Dragon,0.54,,4,9,5,0.32,
3738,SSX Tricky,0.54,,18,1,8,0.42,
3739,WWE SmackDown vs. Raw 2010,0.54,,4,11,29,0.35,
3740,Greg Hastings' Tournament Paintball,0.54,,14,7,5,0.46,
3741,Hello Kitty: Big City Dreams,0.54,,4,5,205,0.42,
3742,Star Fox Command,0.54,,4,7,1,0.39,
3743,World Soccer Winning Eleven 7 International (JP version),0.54,,7,1,15,0,
3744,ESPN NBA Basketball,0.54,,7,1,9,0.26,
3745,Inazuma Eleven GO,0.54,,10,4,1,0,
3746,Over the Hedge,0.54,,7,2,5,0.45,
3747,Mat Hoffman's Pro BMX,0.54,,13,1,5,0.3,
3748,Lego Star Wars: The Force Awakens,0.54,,11,9,20,0.14,
3749,Epic Mickey 2: The Power of Two,0.54,,5,9,33,0.32,
3750,Popeye,0.54,,21,2,427,0.5,
3751,Magician's Quest: Mysterious Times,0.54,,4,4,15,0.04,
3752,The Hobbit,0.54,,7,2,24,0.26,
3753,War of the Monsters,0.54,,7,11,4,0.26,
3754,Tales of Symphonia: Dawn of the New World,0.54,,1,4,26,0.22,
3755,NBA Street Vol. 2,0.54,,18,1,8,0.41,
3756,The Incredible Hulk: Ultimate Destruction,0.54,,7,9,24,0.26,
3757,Star Wars Battlefront (2015),0.54,,15,7,8,0.13,
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",0.53,,23,10,9,0,
3759,Jewel Master Egypt,0.53,,4,5,383,0.21,
3760,Time Crisis II,0.53,,7,7,26,0.26,
3761,Clock Tower,0.53,,13,10,116,0.07,
3762,NCAA March Mad2s 06,0.53,,7,1,8,0.45,
3763,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.53,,1,9,29,0.49,
3764,Jampack Volume 11,0.53,,7,6,4,0.26,
3765,Dragon's Crown,0.53,,6,4,453,0.25,
3766,Tactics Ogre: Let Us Cling Together,0.53,,16,4,17,0.15,
3767,Legacy of Kain: Defiance,0.53,,7,9,22,0.26,
3768,SpongeBob SquarePants: Game Boy Advance Video Volume 2,0.53,,9,6,472,0.38,
3769,NCAA March Mad2s 2005,0.53,,7,1,8,0.44,
3770,007 Racing,0.53,,13,3,8,0.3,
3771,Conflict: Vietnam,0.53,,7,7,377,0.26,
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,0.53,,14,6,9,0.4,
3773,Mystery Dungeon: Shiren the Wanderer,0.53,,4,4,9,0.18,
3774,SimAnimals,0.53,,4,8,8,0.26,
3775,MLB SlugFest 20-04,0.53,,7,1,491,0.26,
3776,Gex 3: Deep Cover Gecko,0.53,,13,2,22,0.3,
3777,NASCAR 09,0.53,,7,3,8,0.26,
3778,Blitz: The League,0.53,,14,1,491,0.4,
3779,Jampack Vol. 2,0.53,,13,6,4,0.3,
3780,LEGO Jurassic World,0.53,,19,9,20,0.28,
3781,Sesame Street: Once Upon A Monster,0.53,,5,6,20,0.39,
3782,Virtual Soccer,0.53,,8,1,284,0,
3783,Romance of the Three Kingdoms IV: Wall of Fire,0.53,,8,12,326,0,
3784,Winning Post,0.53,,8,1,326,0,
3785,Peter Jackson's King Kong: The Official Game of the Movie,0.53,,14,9,6,0.34,
3786,SingStar Dance,0.53,,6,6,4,0.09,
3787,Kirby and the Rainbow Curse,0.53,,19,2,1,0.23,
3788,Burnout Revenge,0.53,,14,3,8,0.32,
3789,FIFA 12,0.53,,16,1,8,0.12,
3790,Medal of Honor: European Assault,0.53,,14,7,8,0.32,
3791,Batman: Arkham City,0.53,,15,9,20,0.16,
3792,Ty the Tasmanian Tiger 2: Bush Rescue,0.53,,7,2,8,0.26,
3793,The Lord of the Rings: The Fellowship of the Ring,0.53,,14,9,21,0.31,
3794,NBA 06,0.53,,7,1,4,0.26,
3795,Sonic & All-Stars Racing Transformed,0.53,,19,3,9,0.2,
3796,Spider-Man,0.53,,12,9,5,0.43,
3797,We Cheer,0.53,,1,8,13,0.48,
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,0.53,,16,7,6,0.35,
3799,X-Men Legen4,0.53,,18,4,5,0.41,
3800,Alice in Wonderland,0.53,,1,10,33,0.27,
3801,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,0.53,,4,8,8,0.5,
3802,Front Mission 2,0.53,,13,12,11,0,
3803,Bulletstorm,0.53,,6,7,8,0.23,
3804,F.E.A.R. 2: Project Origin,0.53,,5,7,20,0.32,
3805,Tiger Woo4 PGA Tour 11,0.53,,5,1,8,0.28,
3806,Stuntman: Ignition,0.53,,6,3,29,0.17,
3807,Are You Smarter Than A 5th Grader?,0.53,,4,6,488,0.48,
3808,F1 2009,0.53,,16,3,158,0.08,
3809,Oni,0.53,,7,9,3,0.26,
3810,The Lord of the Rings: The Two Towers,0.53,,18,9,8,0.41,
3811,Juiced,0.53,,7,3,29,0.26,
3812,The Warriors,0.53,,7,9,3,0.44,
3813,Batman: Arkham Origins Blackgate,0.53,,22,9,20,0.2,
3814,J-League Soccer: Prime Goal 2,0.53,,8,1,26,0,
3815,Go Diego Go! Safari Rescue,0.53,,1,9,3,0.48,
3816,The Walking Dead: Survival Instinct,0.53,,6,7,5,0.28,
3817,Picross 3D,0.53,,4,5,1,0.3,
3818,Just Dance 2015,0.53,,17,6,6,0.35,
3819,Silent Hill: Origins,0.53,,16,9,15,0.22,
3820,NASCAR 2000,0.53,,12,3,8,0.49,
3821,Wayne Gretzky's 3D Hockey,0.53,,12,1,1,0.49,
3822,Pachi-Slot Aruze Oukoku 4,0.53,,13,6,113,0,
3823,Return to Castle Wolfenstein: Operation Resurrection,0.53,,7,7,5,0.26,
3824,Mario Tennis: Power Tour,0.52,,9,1,1,0.24,
3825,Seaman,0.52,,23,8,9,0,
3826,Guin2s World Recor4: The Videogame,0.52,,4,9,20,0.47,
3827,The Grinch,0.52,,13,10,15,0.29,
3828,GT Pro Series,0.52,,1,3,6,0.46,
3829,Tales of Destiny,0.52,,7,4,26,0,
3830,Spectrobes: Beyond the Portals,0.52,,4,4,33,0.37,
3831,Classic Word Games,0.52,,4,6,6,0.09,
3832,Naruto Shippuden: Clash of Ninja Revolution 3,0.52,,1,11,1,0.45,
3833,Fight Night Round 3,0.52,,16,11,8,0.46,
3834,The Golden Compass,0.52,,7,9,9,0.13,
3835,Final Fantasy Chronicles,0.52,,13,4,357,0.29,
3836,NBA Live 08,0.52,,5,1,8,0.47,
3837,Syphon Filter 3,0.52,,13,7,4,0.29,
3838,Star Wars Battlefront: Elite Squadron,0.52,,4,7,18,0.44,
3839,Metal Gear Solid 2: Substance,0.52,,7,9,15,0.18,
3840,We Love Katamari,0.52,,7,5,8,0.26,
3841,NCAA Football 2003,0.52,,14,1,8,0.39,
3842,Way of the Samurai 3,0.52,,6,9,243,0.18,
3843,NBA Live 09,0.52,,6,1,8,0.46,
3844,DC Universe Online,0.52,,6,4,361,0.35,
3845,Ready 2 Rumble Boxing: Round 2,0.52,,13,11,491,0.29,
3846,Mega Man 6,0.52,,2,2,10,0.28,
3847,Mission: Impossible,0.52,,13,9,552,0.29,
3848,Final Fantasy Explorers,0.52,,10,4,17,0.15,
3849,Rival Schools: United By Fate,0.52,,13,11,10,0.12,
3850,Bully: Scholarship Edition,0.52,,1,9,3,0.17,
3851,IL-2 Sturmovik: Bir4 of Prey,0.52,,5,8,13,0.23,
3852,PlayStation All-Stars Battle Royale,0.52,,22,9,4,0.26,
3853,Ratatouille,0.52,,6,9,29,0.09,
3854,Cars Toon: Mater's Tall Tales,0.52,,1,6,33,0.46,
3855,Kung Fu Panda,0.52,,6,9,5,0.21,
3856,Swing Away Golf,0.52,,7,1,8,0.17,
3857,J-League Pro Soccer Club o Tsukurou! 3,0.52,,7,1,9,0,
3858,Tomb Raider: Legend,0.52,,7,9,22,0.25,
3859,Ratatouille,0.52,,1,9,29,0.44,
3860,Freedom Fighters,0.52,,7,7,8,0.25,
3861,Gun,0.52,,14,7,5,0.38,
3862,That's So Raven 2: Supernatural Style,0.52,,9,10,33,0.37,
3863,Lair,0.52,,6,9,4,0.36,
3864,Madden NFL 07,0.52,,6,1,8,0.47,
3865,The Punisher,0.52,,7,9,29,0.25,
3866,Front Mission 3,0.52,,13,12,11,0.1,
3867,Kenkou Ouen Recipe 1000: 4 Kondate Zenshuu,0.52,,4,6,1,0,
3868,SSX On Tour,0.52,,7,1,8,0.25,
3869,Tony Hawk's Pro Skater 3,0.52,,9,1,5,0.37,
3870,Harry Potter and the Prisoner of Azkaban,0.52,,9,9,8,0.37,
3871,Petz: Hamsterz Life 2,0.52,,4,6,6,0.48,
3872,Omega Boost,0.52,,13,7,4,0.17,
3873,The Sims 2: Open for Busi2s,0.52,,15,8,8,0.46,
3874,Iron Man,0.52,,4,9,9,0.35,
3875,NFL 2K3,0.52,,14,1,9,0.38,
3876,NBA Live 2002,0.52,,13,1,8,0.29,
3877,Jampack Winter 2002,0.52,,7,6,4,0.25,
3878,My Word Coach,0.51,,1,6,6,0.46,
3879,Way of the Samurai,0.51,,7,9,22,0.13,
3880,Dragon Age: Origins,0.51,,15,4,8,0,
3881,Naruto Shippuden: Ultimate Ninja Storm 3,0.51,,5,11,26,0.29,
3882,Fishing Derby,0.51,,21,1,5,0.48,
3883,Pac-Man Fever,0.51,,7,6,4,0.25,
3884,The LEGO Movie Videogame,0.51,,17,9,20,0.34,
3885,The 3rd Birthday,0.51,,16,4,17,0.13,
3886,Prince of Persia Trilogy,0.51,,6,9,6,0.17,
3887,International Track & Field,0.51,,13,1,15,0.08,
3888,100 All-Time Favorites,0.51,,4,5,6,0.35,
3889,HSX HyperSonic.Xtreme,0.51,,7,3,492,0.25,
3890,StarCraft II: Legacy of the Void,0.51,,15,12,5,0.18,
3891,Tiger Woo4 PGA Tour 13,0.51,,5,1,8,0.29,
3892,SoulCalibur: Broken Destiny,0.51,,16,11,26,0.12,
3893,The Saboteur,0.51,,5,9,8,0.26,
3894,Lor4 of the Fallen,0.51,,11,4,17,0.17,
3895,Pro Evolution Soccer 2010,0.51,,1,1,15,0.12,
3896,Goldeneye 007: Reloaded,0.51,,5,7,5,0.25,
3897,Jam With the Band,0.51,,4,6,1,0,
3898,Madden NFL 2004,0.51,,18,1,8,0.4,
3899,Jikkyou Powerful Pro Yakyuu 10,0.51,,7,1,15,0,
3900,Summoner,0.51,,7,4,29,0.25,
3901,Virtual Pool,0.51,,13,1,556,0.28,
3902,NBA Live 07,0.51,,16,1,8,0.47,
3903,9 Bass Fishing,0.51,,1,1,9,0.46,
3904,Fire Emblem: Radiant Dawn,0.51,,1,12,1,0.28,
3905,Dynasty Warriors,0.51,,16,9,326,0.18,
3906,"SpongeBob SquarePants: Lights, Camera, Pants!",0.51,,9,6,29,0.37,
3907,Dragon Ball: Raging Blast,0.51,,5,11,26,0.36,
3908,Rugrats: Scavenger Hunt,0.51,,12,6,29,0.41,
3909,Wrecking Crew,0.51,,2,2,1,0,
3910,International Superstar Soccer 2000 (All region sales),0.51,,12,1,15,0.01,
3911,Major League Baseball 2K10,0.51,,5,1,3,0.47,
3912,Monsters vs. Aliens,0.51,,4,9,5,0.33,
3913,"Transformers: War for Cybertron (XBox 360, 6, & PC Versions)",0.51,,6,7,5,0.24,
3914,SpongeBob SquarePants: Creature from the Krusty Krab,0.51,,1,2,29,0.45,
3915,Lost: Via Domus,0.51,,6,9,6,0.19,
3916,NBA Live 2004,0.51,,14,1,8,0.44,
